MDDv1.9_Name,MDDv1.10_Name,Comment,Category,Reference
Eothenomys_jinyangensis,Anteliomys_hintoni,lumped into Anteliomys hintoni,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Eothenomys_meiguensis,Anteliomys_hintoni,lumped into Anteliomys hintoni,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Eothenomys_luojishanensis,Anteliomys_hintoni,lumped into Anteliomys hintoni,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Ellobius_alaicus,Ellobius_tancrei,lumped into E. tancrei,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Microtus_elbeyli,Microtus_dogramacii,lumped into M. dogramacii,lump,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Eptesicus_guadeloupensis,Eptesicus_fuscus,lumped into E. fuscus,lump,"Yi, X., & Latch, E. K. (2022). Nuclear phylogeography reveals strong impacts of gene flow in big brown bats. Journal of Biogeography.|Yi, X., & Latch, E. K. (2022). Systematics of the New World bats Eptesicus and Histiotus suggest trans-marine dispersal followed by Neotropical cryptic diversification. Molecular Phylogenetics and Evolution, 175, 107582."
Vampyressa_sinchi,Vampyressa_melissa,lumped into V. melissa,lump,"Tavares, V. D. C., Gardner, A. L., Mcdonough, M. M., Maldonado, J. E., Gutiérrez, E. E., Velazco, P. M., & Garbino, G. S. (2022). Historical DNA of rare yellow-eared bats Vampyressa Thomas, 1900 (Chiroptera, Phyllostomidae) clarifies phylogeny and species boundaries within the genus. Systematics and Biodiversity, 20(1), 2117247."
Crocidura_zaitsevi,Crocidura_kegoensis,lumped into C. kegoensis,lump,"Bannikova, A. A., Yuzefovich, A. P., Stefen, C., Lebedev, V. S., & Abramov, A. V. (2022). Genetic variability in the Crocidura kegoensis–C. zaitsevi group (Mammalia, Eulipotyphla) and re-evaluation of C. zaitsevi from Vietnam. Mammalian Biology, XX, 1-13."
Myotis_alascensis,Myotis_lucifigus,lumped into M. lucifigus,lump,"Francis, C. M. and Simmons, N. B. on behalf of the G. B. T. W. G. of the IUCN SSC Bat Specialist Group (2022). On the taxonomy of Myotis lucifugus. https://doi.org/10.5281/zenodo.7338575|Morales, A. E., & Carstens, B. C. (2018). Evidence that Myotis lucifugus “Subspecies” are Five Nonsister Species, Despite Gene Flow. Systematic Biology, 67(5), 756–769. https://doi.org/10.1093/sysbio/syy010"
Myotis_carissima,Myotis_lucifigus,lumped into M. lucifigus,lump,"Francis, C. M. and Simmons, N. B. on behalf of the G. B. T. W. G. of the IUCN SSC Bat Specialist Group (2022). On the taxonomy of Myotis lucifugus. https://doi.org/10.5281/zenodo.7338575|Morales, A. E., & Carstens, B. C. (2018). Evidence that Myotis lucifugus “Subspecies” are Five Nonsister Species, Despite Gene Flow. Systematic Biology, 67(5), 756–769. https://doi.org/10.1093/sysbio/syy010"
Myotis_pernox,Myotis_lucifigus,lumped into M. lucifigus,lump,"Francis, C. M. and Simmons, N. B. on behalf of the G. B. T. W. G. of the IUCN SSC Bat Specialist Group (2022). On the taxonomy of Myotis lucifugus. https://doi.org/10.5281/zenodo.7338575|Morales, A. E., & Carstens, B. C. (2018). Evidence that Myotis lucifugus “Subspecies” are Five Nonsister Species, Despite Gene Flow. Systematic Biology, 67(5), 756–769. https://doi.org/10.1093/sysbio/syy010"
Myotis_relictus,Myotis_lucifigus,lumped into M. lucifigus,lump,"Francis, C. M. and Simmons, N. B. on behalf of the G. B. T. W. G. of the IUCN SSC Bat Specialist Group (2022). On the taxonomy of Myotis lucifugus. https://doi.org/10.5281/zenodo.7338575|Morales, A. E., & Carstens, B. C. (2018). Evidence that Myotis lucifugus “Subspecies” are Five Nonsister Species, Despite Gene Flow. Systematic Biology, 67(5), 756–769. https://doi.org/10.1093/sysbio/syy010"
Scarturus_toussi,Scarturus_indicus,lumped into S. indicus,lump,"Lebedev, V. S., Shenbrot, G. I., Krystufek, B., Mahmoudi, A., Melnikova, M. N., Solovyeva, E. N., ... & Bannikova, A. A. (2022). Phylogenetic relations and range history of jerboas of the Allactaginae subfamily (Dipodidae, Rodentia). Scientific reports, 12(1), 1-15."
Trachops_ehrhardti,Trachops_cirrhosus,lumped into T. cirrhosus because the name was originally based on an unpublished dissertation,lump,"Leite, Y., Gregorin, R., Tavares, V., Monteiro, C., Prado, J., Chiquito, E., ... & Ditchfield, A. (2019). Taxonomia integrativa revela diversidade críptica em Trachops cirrhosus (Chiroptera, Phyllostomidae). Dissertation."
Laephotis_botswane,Laephotis_angolensis,lumped into L. angolensis,lump,"Taylor, P. J., Strydom, E., Richards, L., Markotter, W., Toussaint, D. C., Kearney, T., ... & Monadjem, A. (2022). Integrative taxonomic analysis of new collections from the central Angolan highlands resolves the taxonomy of African pipistrelloid bats on a continental scale. Zoological Journal of the Linnean Society, 196(4), 1570-1590."
Microtus_gerbii,Microtus_pyrenaicus,name changed from gerbii to pyrenaicus,name change,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Rhinolophus_monticolus,Rhinolophus_chutamasae,"replacement name for R. monticolus, which was preoccupied",name change,"Soisook, P., & Bates, P. J. (2022). Replacement name (nomen novum) for Rhinolophus monticolus Soisook et al., 2016. Mammalia."
Leopardus_munoai,Leopardus_fasciatus,name changed from munoai to fasciatus,name change,"Martínez-Lanfranco, J. A., & González, E. M. (2022). The oldest available name for the pampas cat of the Uruguayan Savannah ecoregion is Leopardus fasciatus (Larrañaga 1923). Therya, 13(3), 259-264."
Pseudochirulus_schlegeli,Pseudochirulus_schlegelii,spelling changed to match original description,spelling change,NA
Thainycteris_torquatus,Thainycteris_torquata,spelling changed for gender agreement with genus,spelling change,NA
Sminthopsis_fuliginosus,Sminthopsis_fuliginosa,spelling changed to match generic gender,spelling change,NA
Microtus_juldaschi,Microtus_yuldaschi,spelling changed to match original description,spelling change,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Tamiops_minshanica,Tamiops_minshanicus,spelling changed from 'minshanica' to 'minshanicus' for genus gender agreement,spelling change,NA
Cephalophus_nigrifrons,Cephalophorus_kivuensis,split from C. nigrifrons and moved from Cephalophus to Cephalophorus,splilt,"Bärmann, E. V., Fonseca, V. G., Langen, K., & Kaleme, P. (2022). New insights into the taxonomy of duiker antelopes (Artiodactyla: Bovidae) from the eastern Democratic Republic of the Congo, with the formal description of a new genus. Mammalian Biology, 1-17."
Ochotona_rufescens,Ochotona_vizier,split from O. rufescens,split,"Mohammadi, Z., Ghorbani, F., Aliabadian, M., Lissovsky, A. A., Yazdani Moghaddam, F., & Olsson, U. (2022). Multilocus phylogeny reveals habitat driven cryptic diversity in Ochotona rufescens (Ochotonidae). Zoologica Scripta, 00, 1-12."
Cacajao_calvus,Cacajao_rubicundus,split from C. calvus,split,"Silva, F. E., do Amaral, J. V., Roos, C., Bowler, M., Röhe, F., Sampaio, R., ... & Boubli, J. P. (2022). Molecular phylogeny and systematics of bald uakaris, genus Cacajao Lesson, 1840 (Primates: Pitheciidae), with the description of a new species. Molecular Phylogenetics and Evolution, 107509."
Cacajao_calvus,Cacajao_ucayalii,split from C. calvus,split,"Silva, F. E., do Amaral, J. V., Roos, C., Bowler, M., Röhe, F., Sampaio, R., ... & Boubli, J. P. (2022). Molecular phylogeny and systematics of bald uakaris, genus Cacajao Lesson, 1840 (Primates: Pitheciidae), with the description of a new species. Molecular Phylogenetics and Evolution, 107509."
Cacajao_calvus,Cacajao_novaesi,split from C. calvus,split,"Silva, F. E., do Amaral, J. V., Roos, C., Bowler, M., Röhe, F., Sampaio, R., ... & Boubli, J. P. (2022). Molecular phylogeny and systematics of bald uakaris, genus Cacajao Lesson, 1840 (Primates: Pitheciidae), with the description of a new species. Molecular Phylogenetics and Evolution, 107509."
Budorcas_taxicolor,Budorcas_tibetana,split from B. taxicolor,split,"Yang, L., Wei, F., Zhan, X., Fan, H., Zhao, P., Huang, G., ... & Hu, Y. (2022). Evolutionary conservation genomics reveals recent speciation and local adaptation in threatened takins. Molecular Biology and Evolution, 39(6), msac111."
Neotamias_amoenus,Neotamias_cratericus,split from N. amoenus,split,"Herrera, N. D., Bell, K. C., Callahan, C. M., Nordquist, E., Saver, B. A. J., Sullivan, J., Demobski, J. R., & Good, J. M. (2022). Genomic resolution of cryptic species diversity in chipmunks. Evolution, 76(9), 2004-2019."
Neotamias_minimus,Neotamias_grisescens,split from N. minimus,split,"Herrera, N. D., Bell, K. C., Callahan, C. M., Nordquist, E., Saver, B. A. J., Sullivan, J., Demobski, J. R., & Good, J. M. (2022). Genomic resolution of cryptic species diversity in chipmunks. Evolution, 76(9), 2004-2019."
