MDDv1.9_Name,MDDv1.10_Name,Comment,Category,Reference
NA,Rhinolophus_namuli,recently described,de novo,"Curran, M., Kopp, M., Ruedi, M., & Bayliss, J. (2022). A new species of horseshoe bat (Chiroptera: Rhinolophidae) from Mount Namuli, Mozambique. Acta Chiropterologica, 24(1), 19-40."
NA,Baletemys_kampalili,recently described,de novo,"Rowsey, D. M., Duya, M. R. M., Ibañez, J. C., Jansa, S. A., Rickart, E. A., & Heaney, L. R. (2022). A new genus and species of shrew-like mouse (Rodentia: Muridae) from a new center of endemism in eastern Mindanao, Philippines. Journal of Mammalogy, gyac057."
NA,Neoromicia_hlandzeni,recently described,de novo,"Taylor, P. J., Strydom, E., Richards, L., Markotter, W., Toussaint, D. C., Kearney, T., ... & Monadjem, A. (2022). Integrative taxonomic analysis of new collections from the central Angolan highlands resolves the taxonomy of African pipistrelloid bats on a continental scale. Zoological Journal of the Linnean Society, zlac071."
NA,Cheracebus_aquinoi,recently described,de novo,"Rengifo, E. M., D'Elía, G., García, G., Charpentier, E., & Cornejo, F. M. (2022). A New Species of Titi Monkey, Genus Cheracebus Byrne et al., 2016 (Primates: Pitheciidae), from Peruvian Amazonia. Mammal Study, 48(1), 1-16."
NA,Ctenomys_heniacamiare,recently described,de novo,"Mapelli, F. J., Teta, P., Contreras, F., Pereyra, D., Priotto, J. W., & Coda, J. A. (2022). Looking under stones: A new Ctenomys species from the rocky foothills of the Sierras Grandes of central Argentina. Journal of Mammalian Evolution, 1-18."
NA,Akodon_diauarum,recently described,de novo,"Brandão, M. V., Carmignotto, A. P., Percequillo, A. R., Christoff, A. U., Mendes-Oliveira, A. C., & Geise, L. (2022). A new species of Akodon Meyen, 1833 (Rodentia: Cricetidae) from dry forests of the Amazonia-Cerrado transition. Zootaxa, 5205(5), 401-435."
NA,Calomyscus_behzadi,recently described,de novo,"Dezhman, M., Akbarirad, S., Aliabadian, M., Siahsarvie, R., Shafaeipour, A., & Mirshamsi, O. (2021). A new species of Calomyscus Thomas, 1905 (Calomyscidae: Rodentia) from western Iran. Turkish Journal of Zoology, 2021(45), 585-593."
Capra_hircus,Capra_hircus,"fixed an error that had Capra_hircus coded as 'domestic=0' rather than 'domestic=1'; need for this Domestic Goat, which is the domestic form of C. aegagrus",domestic status change,NA
Lissonycteris_angolensis,Myonycteris_angolensis,moved from Lissonycteris to Myonycteris,genus change,"Almeida, F. C., Simmons, N. B., & Giannini, N. P. (2020). A species-level phylogeny of Old World fruit bats with a new higher-level classification of the family Pteropodidae. American Museum Novitates, 2020(3950), 1-24."
Aonyx_capensis,Lutra_capensis,moved from Aonyx to Lutra,genus change,"de Ferran, V., Figueiró, H. V., de Jesus Trindade, F., Smith, O., Sinding, M. H. S., Trinca, C. S., ... & Eizirik, E. (2022). Phylogenomics of the world’s otters. Current Biology, 32(16), 3650-3658."
Aonyx_cinereus,Lutra_cinerea,moved from Aonyx to Lutra,genus change,"de Ferran, V., Figueiró, H. V., de Jesus Trindade, F., Smith, O., Sinding, M. H. S., Trinca, C. S., ... & Eizirik, E. (2022). Phylogenomics of the world’s otters. Current Biology, 32(16), 3650-3658."
Aonyx_congicus,Lutra_congica,moved from Aonyx to Lutra,genus change,"de Ferran, V., Figueiró, H. V., de Jesus Trindade, F., Smith, O., Sinding, M. H. S., Trinca, C. S., ... & Eizirik, E. (2022). Phylogenomics of the world’s otters. Current Biology, 32(16), 3650-3658."
Lutrogale_perspicillata,Lutra_perspicillata,moved from Lutrogale to Lutra,genus change,"de Ferran, V., Figueiró, H. V., de Jesus Trindade, F., Smith, O., Sinding, M. H. S., Trinca, C. S., ... & Eizirik, E. (2022). Phylogenomics of the world’s otters. Current Biology, 32(16), 3650-3658."
